Total Time,Rating,Votes,Notes,Date Published,Steps,Ingredients,Serving Size
30 minutes,4,295,0,"April 19, 2024",3,6,4 servings
"2 hours 35 minutes, plus overnight soaking",4,46,0,"April 19, 2024",6,15,6 to 8 servings
About 1½ hours,4,15,0,"April 19, 2024",4,9,6 servings
20 minutes,4,354,0,"April 4, 2024",4,8,4 servings
About 2 hours,4,28,0,"April 19, 2024",6,17,4 main-course servings or 6 to 8 appetizer servings (about 9 cups)
30 minutes,4,201,0,"April 19, 2024",6,7,4 servings
40 minutes,4,193,0,"April 12, 2024",2,15,About 10 patties
25 minutes,4,793,0,"April 15, 2024",2,10,4 servings
1 hour,4,23,0,"April 3, 2024",5,9,4 to 6 servings
25 minutes,4,374,0,"April 5, 2024",6,7,4 to 6 servings
20 minutes,,0,0,"April 24, 2024",2,8,4 servings
About 2 ¾ hours,3,79,0,"April 16, 2024",5,7,8 to 10 servings
1 hour,4,191,0,"April 24, 2024",5,10,About 17 cookies
45 minutes,3,22,0,"April 24, 2024",3,4,About 2 cups
20 minutes,4,280,0,"April 16, 2024",4,10,2 to 4 servings
20 minutes,,0,0,"April 25, 2024",3,7,2 burgers
20 minutes,4,11,0,"April 23, 2024",4,7,1 sandwich
30 minutes,5,"12,690",0,,3,11,4 servings
35 minutes,5,"7,536",0,,7,8,4 servings
20 minutes,5,"8,617",0,,3,6,4 servings
1 hour,4,966,0,,5,16,One 2-layer 8-inch cake
1 hour,5,6,0,"April 23, 2024",5,10,4 to 6 servings
"1 hour 30 minutes, plus at least 15 minutes' refrigeration",5,"8,315",0,"March 27, 2024",9,18,8 to 12 servings
30 minutes,4,40,0,"April 19, 2024",1,6,4 servings
35 minutes,4,591,0,"March 27, 2024",3,8,4 servings
45 minutes,5,"1,352",0,"April 22, 2024",7,14,4 servings (about 4 heaping cups)
45 minutes,4,"1,474",0,,5,11,4 servings
30 minutes,4,"2,187",0,"April 8, 2024",4,12,4 to 6 servings
40 minutes,4,131,0,"April 10, 2024",3,10,4 servings
15 minutes,5,"8,667",0,,3,5,4 to 6 servings
12 ¼ hours,4,429,0,"April 16, 2024",7,12,8 to 10 servings
20 minutes,5,"1,565",0,,5,9,2 servings
50 minutes,4,12,0,"April 18, 2024",4,12,4 servings
20 minutes,3,34,0,"April 24, 2024",3,4,4 servings
40 minutes,4,305,0,"April 17, 2024",4,12,4 servings
1 ¾ hours,4,148,0,"April 9, 2024",3,7,4 servings
35 minutes,4,10,0,"April 22, 2024",6,12,4 to 6 servings
40 minutes,5,"4,041",0,"Feb. 16, 2024",2,8,4 servings
50 minutes,3,16,0,"April 19, 2024",5,20,4 to 6 servings
25 minutes,4,133,0,"Oct. 10, 2023",4,7,4 servings
"1 hour 15 minutes, plus 3 hours’ or overnight refrigeration",5,"2,009",0,"April 17, 2024",3,9,About 15 matzo balls
20 minutes,4,437,0,,4,11,8 to 10 servings
1 hour 15 minutes,5,"11,856",0,,4,11,4 servings
1 hour 45 minutes,5,899,0,,5,12,4 to 6 servings
1 hour 10 minutes,5,"5,088",0,,5,15,4 to 6 servings
1 hour,4,467,0,"March 19, 2024",4,11,4 servings
35 minutes,4,177,0,"April 11, 2024",6,9,4 servings
25 minutes,4,185,0,,2,7,4 servings
1 hour,4,479,0,"March 20, 2024",5,14,4 servings
30 minutes,4,"1,653",0,,4,15,4 servings
15 minutes,4,"1,336",0,,3,6,6 servings
"2½ hours, plus cooling and chilling",4,"1,065",0,,11,21,One 9-inch cheesecake
25 minutes,4,"2,012",0,,4,19,4 servings
1½ hours,4,549,0,"Feb. 16, 2024",5,8,4 servings
"20 minutes, plus cooling",4,233,0,,4,13,2 (16-ounce) wide-mouth jars
35 minutes,4,822,0,,5,14,4 servings
1½ hours,4,309,0,,10,11,12 servings
30 minutes,4,"1,648",0,,4,12,18 fritters
"30 minutes to 1½ hours, depending on your grits",4,259,0,,8,19,4 servings
30 minutes,4,"1,762",0,,5,14,4 to 6 servings
1 hour,4,"1,673",0,,6,19,12 servings
35 minutes,4,"1,037",0,,3,13,2 to 4 servings
1¼ hours,5,453,0,,7,15,8 servings
"40 minutes, plus cooling",5,433,0,,7,16,12 doughnuts
1 hour,4,143,0,,4,6,4 to 6 servings
40 minutes,4,15,0,"April 24, 2024",5,14,4 servings
40 minutes,4,375,0,,5,14,4 servings
40 minutes,4,472,0,"March 29, 2024",5,11,4 servings
40 minutes,4,418,0,"April 25, 2024",3,11,4 servings
45 minutes,4,296,0,"Oct. 11, 2023",6,10,4 servings
40 minutes,4,428,0,"Dec. 5, 2023",5,9,4 servings
35 minutes,4,157,0,,5,10,4 servings
30 minutes,4,467,0,,4,13,4 servings
35 minutes,4,109,0,"Feb. 1, 2024",4,10,4 servings
35 minutes,5,101,0,"Oct. 12, 2023",5,10,2 servings
40 minutes,4,226,0,"Nov. 8, 2023",5,13,4 servings
40 minutes,4,587,0,,5,10,4 servings
35,4,450,0,"Oct. 12, 2023",5,9,4 to 6 servings
"35 minutes, plus at least 4 hours’ marinating",4,174,0,"Oct. 11, 2023",5,11,4 to 6 servings
40 minutes,4,452,0,,5,11,4 to 6 servings
25 minutes,4,773,0,,4,11,4 to 6 servings
45 minutes,4,33,0,"April 24, 2024",4,11,4 servings
"1½ hours, plus 30 minutes’ soaking",4,574,0,,10,6,6 to 8 servings
About 1 hour,,0,0,"April 25, 2024",5,10,6 servings
"About 3 hours, including 2 hours’ marinating",4,211,0,"Oct. 11, 2023",8,21,4 servings
About 8½ hours,4,216,0,"Dec. 6, 2023",6,8,15 pralines
At least 4 hours,5,"22,922",0,,5,14,"2 heaping cups, for about 6 servings and 1½ pounds pasta"
1 hour 25 minutes,4,667,0,"March 28, 2024",6,11,8 servings (1 loaf)
20 minutes,4,709,0,"Dec. 6, 2023",1,7,2 cups (4 servings)
2 hours 50 minutes,4,152,0,"Dec. 6, 2023",4,9,4 to 6 servings
20 minutes,5,491,0,"Oct. 12, 2023",4,12,4 to 6 servings
1 hour and 50 minutes,4,127,0,"Nov. 3, 2023",5,10,10 to 12 servings
4 hours 15 minutes,4,397,0,"Jan. 23, 2024",7,19,10 servings
3 hours 40 minutes,4,581,0,"Oct. 5, 2023",4,8,4 to 6 servings
1½ hours,4,"3,010",0,,5,18,8 to 10 servings
"About 7 hours, plus overnight dry brining",4,525,0,"Dec. 19, 2023",7,10,8 to 12 servings
1 hour 5 minutes,4,406,0,"Nov. 21, 2023",6,14,One 9-by-13-inch cake (12 to 16 servings)
50 to 60 minutes,5,"8,700",0,,3,3,4 servings
50 minutes,4,"1,645",0,,5,17,4 servings
7 hours,4,595,0,"March 12, 2024",7,21,6 to 8 servings
1 hour,4,78,0,,5,8,4 servings
50 minutes,4,"1,431",0,,8,13,8 servings
1 hour and 10 minutes,4,586,0,,5,13,8 servings
15 minutes,4,315,0,,4,6,About 6 cups
45 minutes,4,549,0,,2,6,4 servings
20 minutes,4,"1,512",0,,4,12,4 servings
40 minutes,4,892,0,"Jan. 25, 2024",6,13,4 servings
"35 minutes, plus 12 hours’ refrigeration",5,"1,550",0,,4,4,About 30 cookies
1 hour 30 minutes,4,657,0,"Dec. 21, 2023",6,10,12 rolls
5 minutes,4,"6,926",0,,3,4,2 servings
"About 1½ hours, plus chilling",4,"2,047",0,,9,21,12 to 14 servings
25 minutes,4,13,0,"April 24, 2024",7,9,4 servings
"45 minutes, plus marinating",5,"20,504",0,"Jan. 23, 2024",4,13,4 to 6 servings
30 minutes,4,295,0,"April 19, 2024",3,6,4 servings
40 minutes,4,"6,708",0,,4,15,4 servings
25 minutes,4,"4,713",0,,4,7,6 servings
30 minutes,5,"11,468",0,,5,13,4 to 6 servings
30 minutes,5,"4,927",0,,3,15,4 to 6 servings
55 minutes,4,134,0,"April 19, 2024",6,15,4 servings
45 minutes,4,15,0,"April 23, 2024",5,8,4 servings
25 minutes,4,329,0,"April 11, 2024",4,8,4 servings
45 minutes,4,162,0,"April 2, 2024",8,11,4 servings
25 minutes,5,"4,411",0,"March 27, 2024",4,8,4 servings
35 minutes,4,381,0,"April 8, 2024",4,7,4 servings
45 minutes,5,"6,022",0,,6,18,4 servings
25 minutes,5,"11,812",0,,3,13,4 servings
20 minutes,4,"1,170",0,,3,8,About 24
30 minutes,4,12,0,"April 23, 2024",4,14,4 to 6 servings
About 1 hour,4,85,0,"April 19, 2024",4,14,4 servings
45 minutes,4,"1,480",0,"Dec. 21, 2023",4,11,4 to 6 servings
10 minutes,4,30,0,"April 23, 2024",4,6,2 servings
20 minutes,5,"7,152",0,,4,13,4 servings
15 minutes,4,692,0,"March 28, 2024",3,8,4 servings
30 minutes,5,"1,046",0,"Jan. 22, 2024",5,13,4 to 6 servings
25 minutes,4,"4,318",0,,4,15,2 to 4 servings
25 minutes,5,"3,709",0,,5,16,4 servings
1½ hours,4,543,0,"April 18, 2024",4,13,8 servings
1 hour,4,"1,847",0,,4,12,4 servings
20 minutes,5,"4,146",0,,3,13,4 to 6 servings
10 minutes,4,498,0,,2,8,4 servings
About 45 minutes,5,"10,824",0,,4,8,12 brownies
15 minutes,5,"3,845",0,,5,11,4 servings
"1½ hours, plus cooling",4,"7,950",0,,5,11,8 servings
1½ hours,4,349,0,"April 3, 2024",7,18,4 to 6 servings
2 hours,4,977,0,"Feb. 16, 2024",7,8,4 to 6 servings
1½ hours,5,"2,962",0,,3,8,One 9-inch cake (10 to 12 servings)
35 minutes,4,120,0,"April 19, 2024",7,12,4 servings
25 minutes,4,"2,550",0,,6,8,4 servings
25 minutes,4,"2,383",0,,4,16,4 servings
20 minutes,4,511,0,,6,15,4 servings
20 minutes,4,"1,296",0,,3,15,4 servings
1 hour,4,185,0,"Oct. 13, 2023",5,14,4 servings
25 minutes,4,"2,002",0,,3,17,4 servings
25 minutes,4,"2,060",0,,3,10,4 servings
30 minutes,4,620,0,"Feb. 6, 2024",6,14,4 servings
30 minutes,5,"3,672",0,,3,13,Serves 2
45 minutes,4,389,0,"Dec. 13, 2023",5,17,4 servings
15 minutes,4,"3,284",0,,4,13,2 to 4 servings
30 minutes,3,48,0,"Oct. 11, 2023",4,8,4 servings
20 minutes,5,"2,287",0,,5,12,"2 or 3 servings, with rice"
20 minutes,4,610,0,,4,13,4 servings
30 minutes,4,"3,823",0,,3,13,4 servings
50 minutes,4,700,0,,3,9,3 to 4 servings
20 minutes,5,"2,580",0,,2,4,4 servings
1 hour,4,572,0,,6,18,4 to 6 servings
35 minutes,4,330,0,,6,7,6 servings (2 pancakes)
45 minutes,4,"1,830",0,,4,11,4 to 6 servings
"About 2 hours, plus chilling",4,241,0,,8,19,About 20 burekas
"1¼ hours, plus chilling",4,497,0,,4,23,4 to 6 servings (about 20 matzo balls)
1 hour,4,"2,682",0,,6,11,4 to 6 servings
40 minutes,4,464,0,,7,16,About 20 patties
"1½ hours, plus chilling and cooling",4,261,0,,8,14,8 to 10 servings
About 2 hours,4,898,0,,6,14,12 to 14 servings
"55 minutes, plus 40 minutes’ optional soaking",4,176,0,,6,11,4 servings (about 7½ cups)
"About 6½ hours, plus overnight chilling",4,"3,673",0,"April 5, 2024",5,14,12 servings
30 minutes,4,195,0,,4,10,4 to 6 servings
"45 minutes, plus at least 1 hour for soaking prunes",4,125,0,,5,15,8 to 10 servings
About 1¼ hours,4,125,0,,7,9,About 2 dozen churros
45 minutes,4,36,0,,2,15,About 4 cups
"1 hour, plus 1 hour for soaking rice",4,46,0,,4,12,6 to 8 servings
1 hour 30 minutes,5,81,0,,7,21,4 servings
20 minutes,4,82,0,,3,9,2 cups
15 minutes,4,224,0,,1,8,About 2 cups
2 hours 15 minutes,4,182,0,,9,28,8 servings
45 minutes,5,41,0,,3,16,4 servings
45 minutes,5,614,0,,7,14,4 servings
1 hour 5 minutes,3,44,0,"Oct. 12, 2023",7,2,9 tortillas
35 minutes,4,64,0,"April 16, 2024",5,11,8 tacos
4 hours 25 minutes,4,152,0,,4,13,8 servings
2 hours 35 minutes,4,187,0,"Oct. 11, 2023",2,6,3 quarts
10 minutes,4,723,0,"Feb. 5, 2024",6,10,8 arepas
1 hour 5 minutes,4,38,0,"Oct. 11, 2023",10,9,9 tetelas
45 minutes,4,59,0,"Oct. 6, 2023",5,13,4 servings
5 hours 45 minutes,4,87,0,"Dec. 14, 2023",12,16,16 tamales
15 minutes,4,112,0,,3,7,5 cups
25 minutes,4,"1,804",0,"Jan. 22, 2024",4,8,4 servings
25 minutes,4,356,0,,3,15,4 to 6 servings
30 minutes,4,401,0,"Oct. 12, 2023",5,17,4 servings
25 minutes,4,"1,433",0,,3,9,4 servings
30 minutes,4,344,0,"Feb. 14, 2024",2,7,4 servings
20 minutes,5,"2,149",0,"Oct. 12, 2023",4,10,4 servings
25 minutes,5,"5,993",0,"Dec. 12, 2023",4,8,4 servings
25 minutes,4,183,0,"Oct. 11, 2023",5,11,4 servings
15 minutes,4,"14,477",0,,2,7,4 servings
15 minutes,4,301,0,"March 5, 2024",2,9,4 servings
30 minutes,4,"1,604",0,,6,10,2 servings
20 minutes,4,611,0,"Oct. 12, 2023",6,9,2 servings
5 minutes,4,"2,737",0,,2,10,4 servings
30 minutes,4,512,0,,5,11,2 to 4 servings
20 minutes,4,747,0,,2,8,4 servings
1 hour 5 minutes,4,342,0,"April 18, 2024",3,19,4 servings
20 minutes,4,"1,238",0,,5,16,4 servings
30 minutes,4,353,0,,2,8,6 servings
45 minutes,4,173,0,"Oct. 11, 2023",7,11,4 servings
15 minutes,5,"1,876",0,,4,10,4 servings
30 minutes,4,"11,858",0,,5,10,4 servings
40 minutes,5,"1,629",0,,4,10,4 servings
20 minutes,4,638,0,"Jan. 19, 2024",4,7,1 sandwich
45 minutes,4,154,0,"April 11, 2024",3,9,4 servings
"45 minutes, plus cooling",4,195,0,"April 22, 2024",7,8,8 to 12 servings
30 minutes,4,566,0,,3,11,3 to 4 servings
"45 minutes, plus at least 2 hours’ marinating",4,349,0,,8,29,4 servings
20 minutes,4,"1,633",0,,6,8,4 servings
15 minutes,5,"16,731",0,,5,10,4 servings
About 4¼ hours,4,198,0,"April 2, 2024",7,20,6 servings
30 minutes,5,"10,332",0,,4,11,4 servings
15 minutes,4,438,0,"March 27, 2024",4,7,6 quesadillas
50 minutes,4,866,0,"Oct. 26, 2023",4,10,4 to 6 servings
30 minutes,4,397,0,"March 21, 2024",3,13,3 to 4 servings
45 minutes,4,234,0,"Jan. 26, 2024",6,18,4 servings
6½ hours,4,969,0,"Jan. 24, 2024",4,11,6 to 8 servings
40 minutes,4,"1,318",0,"Jan. 19, 2024",5,12,4 servings
About 4 hours 30 minutes,4,190,0,"Feb. 15, 2024",6,3,4 servings
55 minutes,4,881,0,"Oct. 11, 2023",5,17,4 servings
35 minutes,4,"2,131",0,"March 28, 2024",5,17,4 servings
45 minutes,4,72,0,"Nov. 7, 2023",5,15,20 to 24 bhajiya (serves 4 to 6)
15 minutes plus overnight marinating,4,74,0,"April 25, 2024",3,7,4 servings
4 hours,4,28,0,"April 12, 2024",7,20,6 to 8 servings
35 minutes,4,420,0,"Oct. 5, 2023",4,14,4 to 6 servings
About 1½ hours,4,383,0,"Feb. 6, 2024",4,8,4 servings (about 2 cups sauce)
About 1 hour,4,53,0,"Jan. 26, 2024",3,10,4 to 6 servings
1 hour,4,226,0,"Nov. 15, 2023",3,8,6 to 8 servings
35 minutes,4,955,0,"April 19, 2024",4,12,4 servings
30 minutes,4,545,0,"Nov. 14, 2023",3,9,2 to 3 servings
"About 4 hours, plus overnight brine",4,176,0,"Jan. 25, 2024",3,9,6 to 8 servings
55 minutes,5,932,0,"Nov. 7, 2023",3,11,2 to 3 servings
About 3 hours,4,690,0,"Jan. 25, 2024",5,9,6 to 8 servings
10 minutes,4,297,0,"Jan. 23, 2024",3,5,2 quesadillas
20 minutes,4,476,0,"March 11, 2024",2,3,4 servings
1 hour,4,125,0,"March 5, 2024",2,10,4 servings
40 minutes,4,279,0,"Feb. 14, 2024",3,2,4 servings
35 minutes,4,"1,872",0,"Nov. 13, 2023",5,15,4 Servings
20 minutes,5,"5,670",0,,4,13,2 to 4 servings
4 hours and 25 minutes,4,166,0,"Jan. 16, 2024",3,8,4 servings
40 minutes,4,311,0,"March 5, 2024",5,6,4 servings
30 minutes,4,496,0,"March 29, 2024",3,9,4 servings
30 minutes,4,"8,265",0,,4,11,4 servings
35 minutes,4,"5,768",0,,4,11,4 servings
30 minutes,4,"1,779",0,,5,12,4 to 6 servings
30 minutes,4,453,0,,4,16,4 to 6 servings
1¼ hours,4,768,0,"March 26, 2024",6,9,4 to 6 servings
45 minutes,4,"1,074",0,"April 2, 2024",5,16,4 to 6 servings
1 hour 10 minutes,4,84,0,"March 28, 2024",5,15,4 servings
1 hour,4,47,0,"March 28, 2024",4,11,4 servings
1¼ hours,4,"1,953",0,"Oct. 11, 2023",6,12,4 servings
40 minutes,4,512,0,"March 13, 2024",6,11,4 servings
30 minutes,4,295,0,"March 13, 2024",3,6,4 to 6 servings
30 minutes,4,594,0,"March 1, 2024",3,8,4 servings
35 minutes,4,"1,594",0,"Feb. 15, 2024",4,11,4 servings
30 minutes,4,940,0,,4,8,4 servings
55 minutes,4,554,0,"Oct. 11, 2023",5,11,4 servings
35 minutes,4,"1,688",0,,4,11,4 servings
1 hour,5,"7,191",0,"Nov. 13, 2023",4,6,6 to 8 servings
50 minutes,4,341,0,"March 21, 2024",8,12,12 muffins
30 minutes,4,549,0,"March 21, 2024",5,11,4 servings
2¼ hours,4,517,0,"Oct. 30, 2023",12,21,10 servings
2 hours,4,"2,107",0,,6,6,8 to 10 servings
"1½ hours, plus cooling",4,"4,204",0,,9,16,8 to 10 servings
2½ hours,5,650,0,,8,22,10 servings
About 7 hours 20 minutes,4,67,0,"Feb. 8, 2024",6,8,10 to 12 servings
18 hours,4,142,0,"Oct. 25, 2023",37,29,About 60 servings
About 1 hour 15 minutes plus chilling,4,"2,141",0,"Feb. 29, 2024",13,19,10 to 12 servings
"About 3 hours, including time to cool",4,436,0,,6,17,10 to 12 servings
"1¼ hours, plus cooling",4,826,0,,15,18,8 to 10 servings
1 hour,4,"3,518",0,,6,12,One 9-inch cake
"2 hours, plus baking/cooling",4,539,0,,12,14,8 to 10 servings
"2 hours, plus cooling",5,"1,564",0,,7,16,8 to 12 servings
"1 hour and 20 minutes, plus cooling time",4,"1,087",0,,4,11,Serves 10 to 12
30 minutes,4,478,0,,3,10,4 servings
1½ hours,4,33,0,,5,25,4 servings
20 minutes,5,"1,098",0,,2,8,4 servings
40 minutes,5,294,0,,5,17,8 servings
1 hour 40 minutes,4,306,0,,5,20,6 to 8 servings
1 hour 30 minutes,4,124,0,,2,13,Serves 12 to 16
4 hours,4,114,0,,4,14,6 generous servings
15 minutes,3,131,0,,3,5,About 9 cups (18 to 24 servings)
45 minutes,3,18,0,,3,16,4 servings (about 2 cups)
20 minutes,5,"3,029",0,,2,9,4 servings
1 hour 30 minutes,4,16,0,,4,10,24 servings plus one hour for chilling the dough.
1 hour,5,213,0,,5,6,10 servings.
